Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
Plage Scene (Beach Scene),Samuel John Peploe,1907,1907,https://artuk.org/discover/artworks/plage-scene-beach-scene-124866/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_318-001.jpg,oil on panel,22.0,27.0,KIRMG_318
"Landscape, Barra",Samuel John Peploe,,,https://artuk.org/discover/artworks/landscape-barra-124856/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_298-001.jpg,oil on panel,27.0,35.0,KIRMG_298
Still Life with a Bottle,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-with-a-bottle-124860/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_323-001.jpg,oil on canvas,36.0,31.0,KIRMG_323
Elegance,Samuel John Peploe,,,https://artuk.org/discover/artworks/elegance-124858/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_302-001.jpg,oil on panel,35.5,30.0,KIRMG_302
Head of a Girl (Betty),Samuel John Peploe,c.1922,1922,https://artuk.org/discover/artworks/head-of-a-girl-betty-215359/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGG/SS_DGG_DGET_223D-001.jpg,oil on canvas,59.6,49.3,DGDET 223D
Kirkcudbright,Samuel John Peploe,,,https://artuk.org/discover/artworks/kirkcudbright-211473/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGK/SS_DGK_SM_1992_18_01-001.jpg,oil on canvas,52.3,63.5,STEWM_1992.18.01
"The Tolbooth, Kirkcudbright",Samuel John Peploe,,,https://artuk.org/discover/artworks/the-tolbooth-kirkcudbright-211472/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGK/SS_DGK_SM_2003_27_01-001.jpg,oil on panel,40.0,31.7,STEWM_2003.27.01
Still Life with Plaster Cast,Samuel John Peploe,c.1931,1931,https://artuk.org/discover/artworks/still-life-with-plaster-cast-211605/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_31-001.jpg,oil on canvas,55.9,51.4,GMA 31
Barra,Samuel John Peploe,1903,1903,https://artuk.org/discover/artworks/barra-211577/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1933-001.jpg,oil on wood,15.5,23.9,GMA 1933
Iona Study,Samuel John Peploe,1920s,1920,https://artuk.org/discover/artworks/iona-study-211582/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1943-001.jpg,oil on panel,22.6,30.5,GMA 1943
Veules-les-Roses,Samuel John Peploe,c.1910–1911,1910,https://artuk.org/discover/artworks/veules-les-roses-211594/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_909-001.jpg,oil on board,35.6,27.0,GMA 909
"Game of Tennis, Luxembourg Gardens",Samuel John Peploe,c.1906,1906,https://artuk.org/discover/artworks/game-of-tennis-luxembourg-gardens-211591/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1944-001.jpg,oil on wood,16.1,23.8,GMA 1944
