R,G,B,freqency,id
-124,82,71,0.010074438100744381,9
64,99,94,0.00906747609067476,9
57,42,67,0.00889161908891619,9
22,20,38,0.005721375057213751,9
-59,106,-125,0.005227530052275301,9
93,79,107,0.0046421430464214306,9
-51,-53,-58,0.37832738002795463,10
12,12,14,0.15201118186053736,10
-40,-46,-72,0.0822746803333851,10
43,48,50,0.06277631102138014,10
-105,-105,-106,0.05375317078221256,10
36,50,73,0.0498498731687115,10
89,92,95,0.03140498006936895,10
71,86,113,0.020391365118807268,10
-97,51,28,0.015015271522493141,10
-95,-107,123,0.01337681834653414,10
127,-114,-88,0.012949733395454781,10
-39,-55,-127,0.010974789045918103,10
-23,-28,-39,0.010941139928560335,10
53,78,-113,0.010343220997049232,10
71,32,42,0.010048144121758036,10
79,32,21,0.009709064554537454,10
-72,-127,112,0.009432106434746595,10
100,89,64,0.009258684060671946,10
57,83,-117,0.0084899311487291,10
-103,60,54,0.00827768287001087,10
-79,42,22,0.007291504892063985,10
24,52,41,0.006781591344411658,10
-122,-89,-106,0.006287208158616763,10
-119,81,67,0.00620179116840089,10
13,19,38,0.004780763058445928,10
59,48,29,0.004705699642801677,10
57,34,69,0.004345912926437853,10
-60,-52,-46,0.3500665905631659,11
-112,-111,-110,0.14122907153729072,11
75,96,126,0.08465943683409437,11
94,108,107,0.058304794520547945,11
-118,-111,-83,0.055108447488584476,11
-94,-110,120,0.049185692541856924,11
-68,-123,116,0.04291095890410959,11
-78,-67,-42,0.040528919330289195,11
102,-118,-124,0.03797564687975647,11
79,112,110,0.036818873668188735,11
-88,-124,-117,0.03520357686453577,11
-109,86,79,0.02535958904109589,11
48,62,96,0.010968417047184171,11
62,86,-116,0.008867960426179605,11
-54,-73,-100,0.008139269406392695,11
-122,92,102,0.005976027397260274,11
-107,-121,-90,0.004404490106544901,11
-53,-82,-73,0.004292237442922374,11
-58,-67,-98,0.2698672161172161,12
-118,-108,-111,0.23379349816849818,12
-93,-100,-127,0.14501602564102564,12
114,-115,-96,0.08388278388278388,12
92,103,102,0.07632554945054945,12
-73,-71,-83,0.056971153846153845,12
76,103,125,0.03854624542124542,12
69,99,88,0.024413919413919415,12
39,61,80,0.023646978021978023,12
108,97,76,0.020721153846153847,12
116,-111,-118,0.01434981684981685,12
76,104,72,0.012465659340659341,12
-51,-63,-64,0.15105492424242425,13
-96,-67,-30,0.13841666666666666,13
-126,-105,-71,0.09625946969696969,13
78,106,89,0.09482765151515152,13
-106,-104,-102,0.0850530303030303,13
77,97,-127,0.055465909090909093,13
-33,-54,-76,0.04064204545454545,13
114,-116,122,0.03690909090909091,13
81,108,81,0.035414772727272725,13
115,-116,110,0.02555681818181818,13
113,-102,-43,0.02506439393939394,13
27,51,114,0.024990530303030303,13
39,58,89,0.024253787878787878,13
59,94,-105,0.02265151515151515,13
-39,-72,-69,0.022054924242424244,13
-35,115,81,0.018977272727272728,13
-25,-78,-100,0.017829545454545456,13
-57,-118,116,0.01603977272727273,13
58,81,-107,0.014299242424242424,13
103,87,127,0.013583333333333333,13
-12,-24,-50,0.013285984848484849,13
-16,-25,-35,0.010075757575757576,13
30,61,113,0.00884659090909091,13
-115,-77,-22,0.008446969696969698,13
-102,-107,-109,0.2767565055762082,14
81,104,-125,0.22907760223048326,14
-80,-101,-120,0.15437732342007435,14
-61,-66,-72,0.09403810408921934,14
115,-122,-98,0.07525789962825279,14
95,103,108,0.05851998141263941,14
-59,-76,-98,0.03513243494423792,14
37,58,83,0.03195167286245353,14
117,-112,100,0.013113382899628254,14
121,-113,70,0.009147304832713754,14
88,114,73,0.008236524163568773,14
58,90,-113,0.007746282527881041,14
70,103,94,0.006644981412639406,14
102,90,55,0.2574847433289458,15
60,52,27,0.217491324638028,15
-104,-111,116,0.13502752183798014,15
48,44,35,0.09957520641378485,15
-99,-120,68,0.0727473973914084,15
116,104,46,0.06103266722508077,15
90,96,92,0.056907383032188584,15
-118,-113,-128,0.04037034821108053,15
-58,-71,-108,0.026525667105420606,15
-35,-72,105,0.01590582745004188,15
-33,-72,89,0.00937238243388776,15
109,114,47,0.007559530932152687,15
-43,-50,-51,0.18827563115248108,16
55,42,45,0.11162659880800911,16
65,37,44,0.10517109756914217,16
-18,-21,-26,0.09833255206589432,16
101,91,97,0.06750150673006095,16
-107,-113,-107,0.06311123016138753,16
27,16,17,0.0612629746199692,16
